               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11455,            0.031982,                   0,           0.0047364,            0.010417,          0.00069293,          0.00014849,             0.09337,            0.034968,                   0,              0.0023,              0.0023,              0.0793
                   1,            0.095302,            0.027204,                   0,              0.2664,             0.32639,             0.17677,            0.052183,            0.081538,            0.028156,                   0,           0.0046767,           0.0046767,            0.057677
                   2,            0.081877,            0.025987,                   0,            0.073156,             0.31408,            0.051399,            0.011803,            0.085766,            0.023247,                   0,           0.0070297,           0.0070297,             0.03603
                   3,            0.075698,             0.02388,                   0,            0.030991,             0.18056,            0.024257,           0.0052273,            0.068491,            0.035113,                   0,           0.0093589,           0.0093589,            0.014359
                   4,             0.06882,            0.025857,                   0,             0.13542,             0.29514,            0.099675,            0.036536,            0.072337,            0.029697,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.059717,            0.024405,                   0,             0.54614,             0.36768,             0.38136,              0.1787,            0.058386,            0.031189,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.055816,            0.023062,                   0,             0.75861,             0.64583,             0.70319,             0.21461,            0.053062,            0.023695,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.054342,            0.021926,                   0,             0.89223,             0.57639,             0.72391,             0.35035,            0.044198,            0.022951,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.053756,            0.018406,                   0,             0.72586,             0.53472,             0.56613,             0.26067,            0.054387,            0.024795,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.049523,            0.019946,                   0,             0.48887,             0.52778,             0.40467,             0.10401,            0.061614,            0.022269,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.048918,            0.018078,                   0,             0.78344,             0.70486,             0.76317,             0.30605,             0.04541,            0.021862,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.047632,            0.018297,                   0,             0.82698,             0.73264,             0.78919,             0.31126,            0.051134,            0.018014,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.043611,            0.018308,                   0,             0.85061,             0.59722,             0.66003,             0.20802,            0.061568,            0.019465,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.045305,            0.018116,                   0,             0.64983,              0.5625,             0.52914,             0.16552,            0.052901,            0.022125,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.046209,            0.017506,                   0,             0.81886,             0.72202,             0.75768,             0.20657,             0.06174,            0.017007,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.041274,            0.016769,                   0,             0.88284,             0.73258,             0.81221,             0.38529,            0.045961,            0.017698,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.042164,            0.016084,                   0,             0.88886,             0.69792,             0.80896,             0.43623,            0.038313,            0.018789,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.039468,            0.017707,                   0,             0.86546,             0.71474,             0.78271,              0.4139,            0.040006,            0.019332,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.041345,            0.015297,                   0,              0.7959,             0.69097,             0.73012,             0.21664,            0.048913,             0.02053,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.041272,            0.015067,                   0,             0.77014,             0.62847,             0.60075,             0.14924,            0.059682,            0.015397,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.038516,            0.015571,                   0,             0.90879,             0.72917,             0.79863,             0.38062,            0.047531,            0.017034,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.039501,            0.014732,                   0,             0.71875,             0.53472,                0.53,             0.10204,            0.064974,            0.017159,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.040317,            0.014474,                   0,             0.84824,             0.62153,             0.69796,               0.199,            0.054019,            0.021345,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,             0.03726,            0.014042,                   0,             0.88475,             0.74653,              0.7858,              0.3151,            0.051519,            0.018892,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.039611,            0.014122,                   0,             0.88531,             0.69792,             0.76076,              0.2653,            0.062954,            0.016943,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.036881,            0.013449,                   0,             0.88181,             0.67353,             0.74154,             0.17076,            0.064556,            0.016506,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.034795,            0.014032,                   0,             0.80123,             0.60764,             0.64346,             0.19083,            0.064427,            0.017354,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.037242,            0.013492,                   0,             0.83849,             0.74306,             0.79557,             0.40339,            0.042657,            0.018535,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.033791,            0.013667,                   0,             0.88735,             0.71115,             0.81081,             0.43963,            0.038934,            0.018286,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,            0.035259,             0.01305,                   0,             0.76081,             0.65278,             0.67336,              0.2283,            0.051267,            0.019212,                   0,            0.008614,            0.008614,            0.008614
                  30,              0.0341,            0.012779,                   0,              0.8961,             0.71873,             0.80244,             0.43012,            0.038936,            0.019798,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.034781,            0.012112,                   0,             0.84514,             0.73903,             0.77694,             0.29655,            0.049729,            0.019038,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.034313,            0.012697,                   0,             0.90872,             0.65972,             0.69932,             0.13644,            0.068723,            0.017729,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.032799,            0.012048,                   0,             0.50232,             0.32639,             0.24505,            0.033227,            0.073588,            0.015249,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.033823,            0.011704,                   0,              0.9107,             0.74653,             0.80928,             0.39641,            0.043167,            0.017194,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,             0.03536,            0.011717,                   0,             0.83125,             0.77083,             0.80313,             0.38177,            0.041702,            0.019057,                   0,            0.008317,            0.008317,            0.008317
                  36,             0.03037,            0.011682,                   0,             0.84439,             0.79134,             0.81787,             0.37157,            0.042338,            0.018313,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.030511,             0.01209,                   0,             0.84698,             0.78799,             0.81139,             0.43136,            0.041587,            0.017769,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.033366,            0.010393,                   0,             0.77617,             0.58998,             0.59426,             0.10647,            0.062484,            0.019712,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.029575,            0.011635,                   0,              0.8293,             0.79514,             0.81778,              0.3832,            0.044821,             0.01867,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.032213,            0.011191,                   0,             0.90434,             0.72213,             0.79732,             0.45011,            0.040173,            0.019431,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.031036,            0.010774,                   0,             0.86845,             0.73611,             0.78487,             0.43239,            0.039913,            0.022187,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.030518,            0.010796,                   0,             0.88633,             0.68158,             0.73019,              0.2066,            0.053558,            0.022064,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.031859,            0.011116,                   0,             0.87854,             0.72917,             0.79303,             0.42603,            0.040574,            0.019844,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.028404,            0.010991,                   0,             0.83635,             0.78125,             0.81082,             0.48697,            0.036895,            0.019758,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.028306,            0.011058,                   0,             0.83555,             0.64211,             0.65367,             0.17075,            0.057694,            0.022998,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.029553,            0.011038,                   0,             0.93448,             0.74289,             0.83114,              0.4847,            0.039319,            0.018657,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.028125,            0.010207,                   0,             0.92871,             0.72569,             0.80995,             0.42749,            0.042635,            0.019125,                   0,            0.007723,            0.007723,            0.007723
                  48,            0.027475,            0.010885,                   0,             0.88162,             0.74994,             0.79653,             0.44017,            0.040497,            0.020198,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.028626,           0.0096822,                   0,             0.92412,             0.65591,             0.70497,             0.19153,            0.059568,            0.024343,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.032641,            0.010976,                   0,             0.86871,             0.78115,             0.80399,             0.25776,            0.055218,              0.0187,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.026831,             0.01003,                   0,             0.91223,             0.72474,             0.80157,             0.28848,            0.049998,            0.020299,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.028517,           0.0097823,                   0,             0.77815,             0.56835,             0.56718,             0.13722,            0.063906,            0.023225,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.029262,           0.0094406,                   0,             0.93404,             0.69444,             0.80449,             0.47239,            0.037623,            0.020846,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.028344,            0.010316,                   0,             0.91596,              0.7569,             0.83401,             0.39258,            0.042451,            0.018885,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.027006,            0.010269,                   0,             0.88412,             0.71525,             0.81557,             0.43744,            0.040317,            0.020368,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.027096,           0.0095193,                   0,             0.88004,             0.73958,              0.8076,             0.34371,            0.045207,            0.020368,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.026366,           0.0092309,                   0,             0.88934,             0.75342,             0.80774,             0.47905,            0.037406,            0.021672,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.026785,             0.00911,                   0,             0.92747,             0.71181,              0.8353,             0.48344,            0.037863,            0.019024,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.025781,           0.0096369,                   0,             0.88771,             0.77083,             0.83282,             0.49732,            0.037197,            0.018531,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.028198,           0.0092714,                   0,             0.85541,             0.73954,             0.79856,             0.37299,            0.043789,            0.020696,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.024645,           0.0091157,                   0,             0.86874,             0.74306,             0.81216,             0.46183,             0.03895,            0.021937,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.028205,           0.0095408,                   0,             0.89089,             0.76736,             0.83074,             0.46229,            0.041248,            0.020348,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.027822,           0.0096499,                   0,             0.90646,             0.77431,             0.83103,             0.45479,            0.039537,            0.019789,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.025959,           0.0091254,                   0,             0.84696,             0.77083,             0.82073,             0.46084,            0.038693,            0.021161,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,            0.027948,           0.0091243,                   0,             0.88146,             0.77778,             0.82206,             0.40934,            0.043134,             0.02062,                   0,            0.006832,            0.006832,            0.006832
                  66,               0.025,           0.0089371,                   0,             0.86152,             0.77769,             0.82814,             0.44664,            0.039851,              0.0208,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,            0.023951,           0.0085149,                   0,             0.89267,             0.75347,             0.80995,             0.42959,            0.041574,            0.021729,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.024924,           0.0091478,                   0,             0.87913,             0.76042,             0.80825,             0.47546,            0.038797,            0.022615,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.026576,           0.0085779,                   0,             0.90882,             0.73264,             0.79755,             0.35301,            0.046231,            0.023586,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.025094,            0.008455,                   0,             0.90598,              0.7412,             0.80322,             0.41537,            0.043057,            0.023584,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.023436,            0.009432,                   0,             0.88091,             0.77052,             0.82157,             0.47567,            0.039256,            0.020674,                   0,            0.006535,            0.006535,            0.006535
                  72,            0.023644,           0.0081259,                   0,             0.86519,             0.78125,              0.8192,             0.47416,            0.039209,            0.021599,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.021382,           0.0084322,                   0,             0.89626,             0.74999,             0.79976,             0.36772,            0.046041,            0.022197,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.022175,           0.0078684,                   0,             0.86381,             0.77082,             0.82452,             0.48493,             0.03627,            0.021343,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.024337,           0.0087802,                   0,             0.86561,             0.76039,             0.81159,              0.4375,            0.040761,            0.021627,                   0,            0.006337,            0.006337,            0.006337
                  76,             0.02182,            0.008236,                   0,             0.87842,             0.75347,             0.82273,             0.44671,            0.039593,            0.021955,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.024258,           0.0079835,                   0,             0.88787,             0.77431,             0.82828,             0.30392,            0.051163,            0.020137,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.024309,           0.0083081,                   0,             0.90445,             0.73611,             0.83038,             0.40041,            0.044438,            0.020749,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,            0.024517,           0.0085441,                   0,             0.87499,             0.80199,                0.83,             0.43373,            0.040822,            0.021522,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.022452,           0.0083114,                   0,             0.86502,             0.75694,             0.80927,             0.48291,             0.03769,            0.023596,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.023504,           0.0085703,                   0,             0.87698,             0.76734,             0.81987,             0.48357,            0.037774,            0.022566,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.023978,           0.0082791,                   0,             0.91577,             0.75694,             0.81399,              0.4769,            0.037973,            0.023598,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.021387,           0.0080414,                   0,             0.88917,             0.75347,             0.80739,             0.47368,            0.038147,            0.023884,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.020771,           0.0077256,                   0,             0.88377,             0.73958,             0.80357,              0.4705,            0.037175,            0.023022,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.022701,           0.0078952,                   0,             0.89401,             0.76389,             0.81768,             0.49717,            0.035404,            0.023316,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.026273,           0.0081555,                   0,             0.94362,             0.75694,             0.81939,             0.44263,            0.039863,            0.023107,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.022862,           0.0080271,                   0,             0.92024,             0.76389,             0.79639,              0.3925,            0.042743,            0.023054,                   0,            0.005743,            0.005743,            0.005743
