               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12421,            0.031331,                   0,           0.0095001,           0.0075758,          0.00034098,          6.7723e-05,             0.11324,            0.032167,                   0,              0.0007,              0.0007,              0.0937
                   1,             0.11391,            0.026458,                   0,            0.012806,            0.020202,           0.0016583,          0.00034245,            0.097901,            0.030726,                   0,           0.0014975,           0.0014975,            0.086498
                   2,             0.10175,            0.023805,                   0,            0.043063,             0.12374,            0.018415,           0.0036868,            0.087391,             0.02922,                   0,           0.0022924,           0.0022924,            0.079292
                   3,            0.087632,            0.024949,                   0,            0.025788,             0.40657,            0.019711,           0.0039227,             0.09129,            0.025611,                   0,           0.0030847,           0.0030847,            0.072085
                   4,            0.080087,            0.023331,                   0,            0.014822,             0.29798,            0.010542,           0.0017139,            0.087684,            0.025059,                   0,           0.0038743,           0.0038743,            0.064874
                   5,            0.073761,            0.023472,                   0,             0.19966,             0.29293,             0.11761,            0.035268,            0.074411,            0.026176,                   0,           0.0046612,           0.0046612,            0.057661
                   6,            0.067528,            0.021039,                   0,             0.29991,             0.46717,             0.24231,            0.076531,            0.071026,            0.032648,                   0,           0.0054456,           0.0054456,            0.050446
                   7,            0.063401,            0.021849,                   0,              0.5068,             0.44373,             0.41632,             0.10854,            0.066874,             0.03264,                   0,           0.0062272,           0.0062272,            0.043227
                   8,            0.064036,            0.018416,                   0,             0.65775,              0.5404,             0.56904,             0.17758,            0.071034,            0.028516,                   0,           0.0070063,           0.0070063,            0.036006
                   9,            0.059804,            0.018002,                   0,             0.22517,             0.11081,             0.09509,            0.014737,             0.10116,            0.018793,                   0,           0.0077827,           0.0077827,            0.028783
                  10,            0.058842,            0.017501,                   0,             0.78839,              0.5645,             0.64554,             0.25071,            0.071687,            0.025775,                   0,           0.0085565,           0.0085565,            0.021556
                  11,            0.056414,            0.016448,                   0,              0.7948,             0.61869,             0.66481,             0.23959,            0.060302,            0.028903,                   0,           0.0093276,           0.0093276,            0.014328
                  12,            0.056739,            0.017265,                   0,             0.78842,             0.51768,             0.56062,             0.17903,            0.065199,            0.023272,                   0,            0.009802,            0.009802,            0.009802
                  13,            0.051761,            0.015097,                   0,             0.82944,             0.60859,             0.67423,             0.23073,             0.06002,            0.022341,                   0,            0.009802,            0.009802,            0.009802
                  14,            0.051781,            0.015428,                   0,             0.74897,              0.7096,             0.75434,              0.2807,            0.053328,            0.025125,                   0,           0.0097855,           0.0097855,           0.0097855
                  15,            0.050088,             0.01487,                   0,             0.86023,             0.69937,             0.78118,             0.36347,            0.049727,            0.028805,                   0,            0.009769,            0.009769,            0.009769
                  16,             0.04841,            0.013919,                   0,             0.78592,             0.65909,             0.67017,             0.21326,            0.059677,            0.022989,                   0,           0.0097525,           0.0097525,           0.0097525
                  17,            0.046681,            0.013304,                   0,             0.50141,             0.65909,             0.39995,            0.078494,            0.071445,            0.020253,                   0,            0.009736,            0.009736,            0.009736
                  18,            0.044893,            0.013402,                   0,             0.56457,              0.4191,             0.33289,            0.049669,            0.073903,            0.019896,                   0,           0.0097195,           0.0097195,           0.0097195
                  19,            0.043258,            0.013545,                   0,             0.77751,             0.52273,             0.54703,            0.064841,            0.084766,            0.023908,                   0,            0.009703,            0.009703,            0.009703
                  20,            0.042657,            0.013031,                   0,             0.80624,             0.67424,             0.73719,             0.26034,            0.056014,            0.020072,                   0,           0.0096865,           0.0096865,           0.0096865
                  21,            0.041746,            0.012764,                   0,             0.83903,             0.67424,             0.73019,             0.28203,            0.053033,            0.019905,                   0,             0.00967,             0.00967,             0.00967
                  22,            0.040932,            0.012372,                   0,             0.86367,             0.64141,             0.72204,             0.14495,            0.069295,            0.018718,                   0,           0.0096535,           0.0096535,           0.0096535
                  23,            0.041605,            0.012671,                   0,             0.85059,              0.6182,             0.69022,             0.25528,            0.055603,            0.026909,                   0,            0.009637,            0.009637,            0.009637
                  24,            0.040019,             0.01192,                   0,             0.44041,             0.22475,             0.16081,            0.017539,            0.081224,            0.027232,                   0,           0.0096205,           0.0096205,           0.0096205
                  25,            0.041733,            0.011726,                   0,             0.85501,             0.59596,              0.6758,             0.29709,            0.053457,            0.021348,                   0,            0.009604,            0.009604,            0.009604
                  26,            0.037992,            0.012263,                   0,             0.89308,             0.65387,             0.73448,             0.29855,            0.054072,            0.019376,                   0,           0.0095875,           0.0095875,           0.0095875
                  27,            0.037608,            0.010683,                   0,             0.79861,             0.65152,             0.68422,             0.30966,            0.054003,            0.023235,                   0,            0.009571,            0.009571,            0.009571
                  28,            0.039159,            0.010884,                   0,            0.031921,            0.060606,           0.0071669,           0.0015247,            0.089308,             0.02721,                   0,           0.0095545,           0.0095545,           0.0095545
                  29,            0.039492,            0.010758,                   0,             0.88885,             0.60584,             0.69529,             0.21075,            0.059405,            0.019646,                   0,            0.009538,            0.009538,            0.009538
                  30,            0.038347,            0.010842,                   0,             0.76916,             0.61616,             0.65698,              0.1322,            0.061632,            0.017358,                   0,           0.0095215,           0.0095215,           0.0095215
                  31,            0.036223,            0.010787,                   0,             0.86386,             0.70707,             0.75025,             0.13196,            0.066349,            0.018142,                   0,            0.009505,            0.009505,            0.009505
                  32,            0.037245,            0.010193,                   0,             0.91649,             0.67172,             0.74563,             0.16378,             0.06758,            0.016625,                   0,           0.0094885,           0.0094885,           0.0094885
                  33,            0.035498,           0.0099254,                   0,             0.87567,             0.61869,             0.68438,            0.091169,            0.072807,            0.020231,                   0,            0.009472,            0.009472,            0.009472
                  34,            0.035724,           0.0099659,                   0,              0.8192,             0.66414,             0.67276,             0.13062,            0.064925,            0.016909,                   0,           0.0094555,           0.0094555,           0.0094555
                  35,            0.035469,           0.0097795,                   0,             0.43725,             0.46465,             0.28614,            0.049163,            0.073738,            0.018737,                   0,            0.009439,            0.009439,            0.009439
                  36,            0.034005,           0.0096016,                   0,             0.84524,             0.64825,             0.70895,              0.2001,            0.061154,            0.019436,                   0,           0.0094225,           0.0094225,           0.0094225
                  37,            0.033122,           0.0096996,                   0,             0.87183,             0.70426,             0.76435,             0.24721,            0.056734,            0.019267,                   0,            0.009406,            0.009406,            0.009406
                  38,            0.033865,           0.0094287,                   0,             0.86727,             0.67651,             0.71511,             0.25058,              0.0536,            0.022439,                   0,           0.0093895,           0.0093895,           0.0093895
                  39,            0.032987,           0.0095559,                   0,             0.90356,             0.63884,              0.7222,             0.29883,            0.052577,            0.020611,                   0,            0.009373,            0.009373,            0.009373
                  40,            0.032446,           0.0095729,                   0,             0.85113,             0.66414,             0.75752,             0.31988,              0.0511,            0.019679,                   0,           0.0093565,           0.0093565,           0.0093565
                  41,            0.032259,           0.0087125,                   0,             0.92171,             0.65403,             0.72174,             0.26997,            0.055909,            0.020359,                   0,             0.00934,             0.00934,             0.00934
                  42,            0.032156,           0.0086686,                   0,              0.8798,             0.68434,              0.7652,             0.24775,            0.056618,            0.019188,                   0,           0.0093235,           0.0093235,           0.0093235
                  43,            0.033529,           0.0091422,                   0,             0.89544,              0.6488,             0.76125,             0.34095,            0.050846,            0.018489,                   0,            0.009307,            0.009307,            0.009307
                  44,            0.031477,           0.0082477,                   0,             0.63241,             0.59085,             0.52564,            0.087459,            0.067276,            0.019747,                   0,           0.0092905,           0.0092905,           0.0092905
                  45,            0.031252,           0.0085559,                   0,             0.80778,             0.73232,             0.76221,             0.24701,            0.057947,            0.019346,                   0,            0.009274,            0.009274,            0.009274
                  46,            0.028731,           0.0083306,                   0,             0.82603,             0.67677,             0.76479,             0.28555,            0.054009,            0.019684,                   0,           0.0092575,           0.0092575,           0.0092575
                  47,            0.030029,           0.0080089,                   0,             0.83035,             0.70449,             0.76192,             0.24829,             0.05521,            0.019483,                   0,            0.009241,            0.009241,            0.009241
                  48,            0.028636,           0.0083004,                   0,             0.82133,              0.7197,             0.77073,             0.35958,            0.048815,            0.019962,                   0,           0.0092245,           0.0092245,           0.0092245
                  49,            0.033056,            0.008272,                   0,             0.85277,             0.71668,             0.79491,             0.30249,            0.050421,            0.019434,                   0,            0.009208,            0.009208,            0.009208
                  50,            0.030328,             0.00836,                   0,             0.84116,             0.72475,             0.77929,             0.37357,            0.047106,            0.021104,                   0,           0.0091915,           0.0091915,           0.0091915
                  51,            0.030026,           0.0082412,                   0,             0.87308,             0.71465,             0.79143,              0.2849,            0.053674,            0.019714,                   0,            0.009175,            0.009175,            0.009175
                  52,            0.029339,           0.0083034,                   0,             0.85333,             0.73459,             0.79871,             0.34718,            0.049845,            0.017596,                   0,           0.0091585,           0.0091585,           0.0091585
                  53,            0.028612,           0.0077467,                   0,             0.87618,             0.69697,             0.77148,             0.36044,            0.047743,            0.020601,                   0,            0.009142,            0.009142,            0.009142
                  54,            0.026232,           0.0081138,                   0,              0.8725,             0.69192,             0.76645,             0.36607,            0.047052,            0.020635,                   0,           0.0091255,           0.0091255,           0.0091255
                  55,            0.025871,           0.0069238,                   0,             0.93028,              0.7096,              0.8011,             0.38121,             0.04683,            0.019532,                   0,            0.009109,            0.009109,            0.009109
                  56,            0.027733,           0.0074855,                   0,             0.85621,             0.72222,              0.7881,             0.37659,            0.046756,            0.020084,                   0,           0.0090925,           0.0090925,           0.0090925
                  57,            0.029645,           0.0079449,                   0,             0.84754,             0.70202,             0.77818,             0.35045,            0.046784,            0.020008,                   0,            0.009076,            0.009076,            0.009076
                  58,            0.026827,           0.0071406,                   0,             0.80108,             0.72203,             0.76327,             0.26427,            0.053277,            0.021194,                   0,           0.0090595,           0.0090595,           0.0090595
